complaint_id,category,priority,reason,flag
GH-202401,Flooding,Urgent,"Classified as Flooding with Urgent priority based on words 'flooded', 'underpass flooded', 'ambulance' in the complaint description.",
GH-202402,Other,Standard,"Marked as Other with NEEDS_REVIEW because the description is ambiguous based on 'flooded', 'drain'.",NEEDS_REVIEW
GH-202406,Drain Blockage,Standard,"Classified as Drain Blockage with Standard priority based on words 'drain', 'stormwater drain' in the complaint description.",
GH-202407,Drain Blockage,Standard,"Classified as Drain Blockage with Standard priority based on words 'drain', 'drain blocked' in the complaint description.",
GH-202410,Pothole,Standard,Classified as Pothole with Standard priority based on words 'potholes' in the complaint description.,
GH-202411,Pothole,Standard,Classified as Pothole with Standard priority based on words 'pothole' in the complaint description.,
GH-202412,Pothole,Urgent,"Classified as Pothole with Urgent priority based on words 'potholes', 'school' in the complaint description.",
GH-202417,Waste,Standard,"Classified as Waste with Standard priority based on words 'garbage', 'waste' in the complaint description.",
GH-202420,Noise,Standard,Classified as Noise with Standard priority based on words 'drilling' in the complaint description.,
GH-202422,Other,Urgent,"Marked as Other with NEEDS_REVIEW because the description is ambiguous based on 'crater', 'collapsed'.",NEEDS_REVIEW
GH-202424,Flooding,Standard,"Classified as Flooding with Standard priority based on words 'floods', 'underpass floods' in the complaint description.",
GH-202428,Waste,Standard,Classified as Waste with Standard priority based on words 'waste' in the complaint description.,
GH-202432,Noise,Standard,Classified as Noise with Standard priority based on words 'idling' in the complaint description.,
GH-202448,Drain Blockage,Standard,"Classified as Drain Blockage with Standard priority based on words 'drain', 'drain blocked' in the complaint description.",
GH-202438,Other,Standard,Marked as Other with NEEDS_REVIEW because the description is ambiguous based on 'Colony surrounded by fields that channel rainwater through m'.,NEEDS_REVIEW
